workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
Gown,2.0,20.0,4,3,0.04
Gown,2.0,20.0,4,7,0.06
Gown,2.0,20.0,4,14,0.16
Gown,2.0,20.0,4,21,0.16
Gown,2.0,20.0,6,1,0.02
Gown,2.0,20.0,6,3,0.02
Gown,2.0,20.0,6,7,0.03
Gown,2.0,20.0,6,14,0.1
Gown,2.0,20.0,6,21,0.1
Gown,2.0,30.0,2,1,
Gown,2.0,30.0,2,3,
Gown,2.0,30.0,2,7,
Gown,2.0,30.0,2,14,
Gown,2.0,30.0,2,21,
Gown,2.0,30.0,4,1,0.03
Gown,2.0,30.0,4,3,0.04
Gown,2.0,30.0,4,7,0.07
Gown,2.0,30.0,4,14,0.2
Gown,2.0,30.0,4,21,0.22
Gown,2.0,30.0,6,1,0.02
Gown,2.0,30.0,6,3,0.02
Gown,2.0,30.0,6,7,0.04
Gown,2.0,30.0,6,14,0.14
Gown,2.0,30.0,6,21,0.14
Gown,3.0,5.0,2,1,
Gown,3.0,5.0,2,3,
Gown,3.0,5.0,2,7,
Gown,3.0,5.0,2,14,
Gown,3.0,5.0,2,21,
Gown,3.0,5.0,4,1,0.05
Gown,3.0,5.0,4,3,0.05
Gown,3.0,5.0,4,7,0.05
Gown,3.0,5.0,4,14,0.1
Gown,3.0,5.0,4,21,0.1
Gown,3.0,5.0,6,1,0.03
Gown,3.0,5.0,6,3,0.03
Gown,3.0,5.0,6,7,0.03
Gown,3.0,5.0,6,14,0.07
Gown,3.0,5.0,6,21,0.07
Gown,3.0,10.0,2,1,
Gown,3.0,10.0,2,3,
Gown,3.0,10.0,2,7,
Gown,3.0,10.0,2,14,
Gown,3.0,10.0,2,21,
Gown,3.0,10.0,4,1,0.05
Gown,3.0,10.0,4,3,0.05
Gown,3.0,10.0,4,7,0.05
Gown,3.0,10.0,4,14,0.1
Gown,3.0,10.0,4,21,0.07
Gown,3.0,10.0,6,1,0.02
Gown,3.0,10.0,6,3,0.02
Gown,3.0,10.0,6,7,0.03
Gown,3.0,10.0,6,14,0.07
Gown,3.0,10.0,6,21,0.07
Gown,3.0,20.0,2,1,
Gown,3.0,20.0,2,3,
Gown,3.0,20.0,2,7,
Gown,3.0,20.0,2,14,
Gown,3.0,20.0,2,21,
Gown,3.0,20.0,4,1,0.04
Gown,3.0,20.0,4,3,0.05
Gown,3.0,20.0,4,7,0.05
Gown,3.0,20.0,4,14,0.16
Gown,3.0,20.0,4,21,0.16
Gown,3.0,20.0,6,1,0.02
Gown,3.0,20.0,6,3,0.02
Gown,3.0,20.0,6,7,0.03
Gown,3.0,20.0,6,14,0.1
Gown,3.0,20.0,6,21,0.1
Gown,3.0,30.0,2,1,
Gown,3.0,30.0,2,3,
Gown,3.0,30.0,2,7,
Gown,3.0,30.0,2,14,
Gown,3.0,30.0,2,21,
Gown,3.0,30.0,4,1,0.04
Gown,3.0,30.0,4,3,0.07
Gown,3.0,30.0,4,7,0.05
Gown,3.0,30.0,4,14,0.22
Gown,3.0,30.0,4,21,0.21
Gown,3.0,30.0,6,1,0.02
Gown,3.0,30.0,6,3,0.03
Gown,3.0,30.0,6,7,0.04
Gown,3.0,30.0,6,14,0.14
Gown,3.0,30.0,6,21,0.14
N95 mask,1.0,5.0,2,1,0.1
N95 mask,1.0,5.0,2,3,0.1
N95 mask,1.0,5.0,2,7,0.1
N95 mask,1.0,5.0,2,14,0.1
N95 mask,1.0,5.0,2,21,0.1
N95 mask,1.0,5.0,4,1,0.05
N95 mask,1.0,5.0,4,3,0.05
N95 mask,1.0,5.0,4,7,0.05
N95 mask,1.0,5.0,4,14,0.05
N95 mask,1.0,5.0,4,21,0.05
N95 mask,1.0,5.0,6,1,0.03
N95 mask,1.0,5.0,6,3,0.03
N95 mask,1.0,5.0,6,7,0.03
N95 mask,1.0,5.0,6,14,0.03
N95 mask,1.0,5.0,6,21,0.03
N95 mask,1.0,10.0,2,1,0.05
N95 mask,1.0,10.0,2,3,0.05
N95 mask,1.0,10.0,2,7,0.05
N95 mask,1.0,10.0,2,14,0.1
N95 mask,1.0,10.0,2,21,0.1
N95 mask,1.0,10.0,4,1,0.03
N95 mask,1.0,10.0,4,3,0.03
N95 mask,1.0,10.0,4,7,0.03
N95 mask,1.0,10.0,4,14,0.05
N95 mask,1.0,10.0,4,21,0.05
N95 mask,1.0,10.0,6,1,0.02
N95 mask,1.0,10.0,6,3,0.02
N95 mask,1.0,10.0,6,7,0.02
N95 mask,1.0,10.0,6,14,0.03
N95 mask,1.0,10.0,6,21,0.03
N95 mask,1.0,20.0,2,1,0.03
N95 mask,1.0,20.0,2,3,0.05
N95 mask,1.0,20.0,2,7,0.05
N95 mask,1.0,20.0,2,14,0.07
N95 mask,1.0,20.0,2,21,0.07
N95 mask,1.0,20.0,4,1,0.01
N95 mask,1.0,20.0,4,3,0.01
N95 mask,1.0,20.0,4,7,0.01
N95 mask,1.0,20.0,4,14,0.04
N95 mask,1.0,20.0,4,21,0.04
N95 mask,1.0,20.0,6,1,0.01
N95 mask,1.0,20.0,6,3,0.01
N95 mask,1.0,20.0,6,7,0.01
N95 mask,1.0,20.0,6,14,0.03
N95 mask,1.0,20.0,6,21,0.03
N95 mask,1.0,30.0,2,1,0.03
N95 mask,1.0,30.0,2,3,0.05
N95 mask,1.0,30.0,2,7,0.03
N95 mask,1.0,30.0,2,14,0.08
N95 mask,1.0,30.0,2,21,0.12
N95 mask,1.0,30.0,4,1,0.01
N95 mask,1.0,30.0,4,3,0.01
N95 mask,1.0,30.0,4,7,0.03
N95 mask,1.0,30.0,4,14,0.05
N95 mask,1.0,30.0,4,21,0.05
N95 mask,1.0,30.0,6,1,0.01
N95 mask,1.0,30.0,6,3,0.01
N95 mask,1.0,30.0,6,7,0.01
N95 mask,1.0,30.0,6,14,0.03
N95 mask,1.0,30.0,6,21,0.03
N95 mask,2.0,5.0,2,1,
N95 mask,2.0,5.0,2,3,
N95 mask,2.0,5.0,2,7,
N95 mask,2.0,5.0,2,14,
N95 mask,2.0,5.0,2,21,
N95 mask,2.0,5.0,4,1,0.05
N95 mask,2.0,5.0,4,3,0.05
N95 mask,2.0,5.0,4,7,0.05
N95 mask,2.0,5.0,4,14,0.05
N95 mask,2.0,5.0,4,21,0.05
N95 mask,2.0,5.0,6,1,0.03
N95 mask,2.0,5.0,6,3,0.03
N95 mask,2.0,5.0,6,7,0.03
N95 mask,2.0,5.0,6,14,0.03
N95 mask,2.0,5.0,6,21,0.03
N95 mask,2.0,10.0,2,1,
N95 mask,2.0,10.0,2,3,
N95 mask,2.0,10.0,2,7,
N95 mask,2.0,10.0,2,14,
N95 mask,2.0,10.0,2,21,
N95 mask,2.0,10.0,4,1,0.03
N95 mask,2.0,10.0,4,3,0.03
N95 mask,2.0,10.0,4,7,0.03
N95 mask,2.0,10.0,4,14,0.05
N95 mask,2.0,10.0,4,21,0.03
N95 mask,2.0,10.0,6,1,0.02
N95 mask,2.0,10.0,6,3,0.02
N95 mask,2.0,10.0,6,7,0.02
N95 mask,2.0,10.0,6,14,0.02
N95 mask,2.0,10.0,6,21,0.03
N95 mask,2.0,20.0,2,1,
N95 mask,2.0,20.0,2,3,
N95 mask,2.0,20.0,2,7,
N95 mask,2.0,20.0,2,14,
N95 mask,2.0,20.0,2,21,
N95 mask,2.0,20.0,4,1,0.01
N95 mask,2.0,20.0,4,3,0.01
N95 mask,2.0,20.0,4,7,0.03
N95 mask,2.0,20.0,4,14,0.04
N95 mask,2.0,20.0,4,21,0.04
N95 mask,2.0,20.0,6,1,0.01
N95 mask,2.0,20.0,6,3,0.01
N95 mask,2.0,20.0,6,7,0.01
N95 mask,2.0,20.0,6,14,0.02
N95 mask,2.0,20.0,6,21,0.03
N95 mask,2.0,30.0,2,1,
N95 mask,2.0,30.0,2,3,
N95 mask,2.0,30.0,2,7,
N95 mask,2.0,30.0,2,14,
N95 mask,2.0,30.0,2,21,
N95 mask,2.0,30.0,4,1,0.01
N95 mask,2.0,30.0,4,3,0.02
N95 mask,2.0,30.0,4,7,0.02
N95 mask,2.0,30.0,4,14,0.03
N95 mask,2.0,30.0,4,21,0.04
N95 mask,2.0,30.0,6,1,0.01
N95 mask,2.0,30.0,6,3,0.01
N95 mask,2.0,30.0,6,7,0.01
N95 mask,2.0,30.0,6,14,0.03
N95 mask,2.0,30.0,6,21,0.03
N95 mask,3.0,5.0,2,1,
N95 mask,3.0,5.0,2,3,
N95 mask,3.0,5.0,2,7,
N95 mask,3.0,5.0,2,14,
N95 mask,3.0,5.0,2,21,
N95 mask,3.0,5.0,4,1,0.05
N95 mask,3.0,5.0,4,3,0.05
N95 mask,3.0,5.0,4,7,0.05
N95 mask,3.0,5.0,4,14,0.05
N95 mask,3.0,5.0,4,21,0.05
N95 mask,3.0,5.0,6,1,0.03
N95 mask,3.0,5.0,6,3,0.03
N95 mask,3.0,5.0,6,7,0.03
N95 mask,3.0,5.0,6,14,0.03
N95 mask,3.0,5.0,6,21,0.03
N95 mask,3.0,10.0,2,1,
N95 mask,3.0,10.0,2,3,
N95 mask,3.0,10.0,2,7,
N95 mask,3.0,10.0,2,14,
N95 mask,3.0,10.0,2,21,
N95 mask,3.0,10.0,4,1,0.03
N95 mask,3.0,10.0,4,3,0.03
N95 mask,3.0,10.0,4,7,0.03
N95 mask,3.0,10.0,4,14,0.04
N95 mask,3.0,10.0,4,21,0.05
N95 mask,3.0,10.0,6,1,0.02
N95 mask,3.0,10.0,6,3,0.02
N95 mask,3.0,10.0,6,7,0.02
N95 mask,3.0,10.0,6,14,0.03
N95 mask,3.0,10.0,6,21,0.03
N95 mask,3.0,20.0,2,1,
N95 mask,3.0,20.0,2,3,
N95 mask,3.0,20.0,2,7,
N95 mask,3.0,20.0,2,14,
N95 mask,3.0,20.0,2,21,
N95 mask,3.0,20.0,4,1,0.01
N95 mask,3.0,20.0,4,3,0.03
N95 mask,3.0,20.0,4,7,0.01
