strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
4,3,30,1,8,0.44
4,7,5,1,8,0.17
4,7,10,1,8,0.23
4,7,20,1,8,0.29
4,7,30,1,8,0.32
4,14,5,1,8,0.20
4,14,10,1,8,0.23
4,14,20,1,8,0.25
4,14,30,1,8,0.25
4,21,5,1,8,0.20
4,21,10,1,8,0.23
4,21,20,1,8,0.25
4,21,30,1,8,0.25
6,1,5,1,8,0.03
6,1,10,1,8,0.03
6,1,20,1,8,0.05
6,1,30,1,8,0.08
6,3,5,1,8,0.07
6,3,10,1,8,0.07
6,3,20,1,8,0.17
6,3,30,1,8,0.27
6,7,5,1,8,0.10
6,7,10,1,8,0.15
6,7,20,1,8,0.18
6,7,30,1,8,0.20
6,14,5,1,8,0.13
6,14,10,1,8,0.15
6,14,20,1,8,0.17
6,14,30,1,8,0.17
6,21,5,1,8,0.13
6,21,10,1,8,0.15
6,21,20,1,8,0.17
6,21,30,1,8,0.17
2,1,5,1,9,0.30
2,1,10,1,9,0.40
2,1,20,1,9,0.64
2,1,30,1,9,0.85
2,3,5,1,9,0.30
2,3,10,1,9,0.50
2,3,20,1,9,0.72
2,3,30,1,9,0.80
2,7,5,1,9,0.40
2,7,10,1,9,0.55
2,7,20,1,9,0.68
2,7,30,1,9,0.72
2,14,5,1,9,0.40
2,14,10,1,9,0.47
2,14,20,1,9,0.50
2,14,30,1,9,0.50
2,21,5,1,9,0.40
2,21,10,1,9,0.50
2,21,20,1,9,0.50
2,21,30,1,9,0.50
4,1,5,1,9,0.05
4,1,10,1,9,0.07
4,1,20,1,9,0.15
4,1,30,1,9,0.23
4,3,5,1,9,0.15
4,3,10,1,9,0.15
4,3,20,1,9,0.34
4,3,30,1,9,0.47
4,7,5,1,9,0.20
4,7,10,1,9,0.25
4,7,20,1,9,0.35
4,7,30,1,9,0.38
4,14,5,1,9,0.20
4,14,10,1,9,0.23
4,14,20,1,9,0.25
4,14,30,1,9,0.25
4,21,5,1,9,0.20
4,21,10,1,9,0.25
4,21,20,1,9,0.25
4,21,30,1,9,0.25
6,1,5,1,9,0.03
6,1,10,1,9,0.03
6,1,20,1,9,0.05
6,1,30,1,9,0.10
6,3,5,1,9,0.07
6,3,10,1,9,0.07
6,3,20,1,9,0.20
6,3,30,1,9,0.30
6,7,5,1,9,0.12
6,7,10,1,9,0.15
6,7,20,1,9,0.22
6,7,30,1,9,0.26
6,14,5,1,9,0.13
6,14,10,1,9,0.17
6,14,20,1,9,0.17
6,14,30,1,9,0.17
6,21,5,1,9,0.13
6,21,10,1,9,0.17
6,21,20,1,9,0.17
6,21,30,1,9,0.17
2,1,5,1,10,0.30
2,1,10,1,10,0.45
2,1,20,1,10,0.76
2,1,30,1,10,0.92
2,3,5,1,10,0.35
2,3,10,1,10,0.50
2,3,20,1,10,0.80
2,3,30,1,10,0.87
2,7,5,1,10,0.50
2,7,10,1,10,0.60
2,7,20,1,10,0.72
2,7,30,1,10,0.75
2,14,5,1,10,0.40
2,14,10,1,10,0.50
2,14,20,1,10,0.50
2,14,30,1,10,0.50
2,21,5,1,10,0.40
2,21,10,1,10,0.50
2,21,20,1,10,0.50
2,21,30,1,10,0.50
4,1,5,1,10,0.08
4,1,10,1,10,0.10
4,1,20,1,10,0.19
4,1,30,1,10,0.28
4,3,5,1,10,0.15
4,3,10,1,10,0.15
4,3,20,1,10,0.40
4,3,30,1,10,0.55
4,7,5,1,10,0.20
4,7,10,1,10,0.26
4,7,20,1,10,0.39
4,7,30,1,10,0.42
4,14,5,1,10,0.20
4,14,10,1,10,0.25
4,14,20,1,10,0.25
4,14,30,1,10,0.25
4,21,5,1,10,0.20
4,21,10,1,10,0.25
4,21,20,1,10,0.25
4,21,30,1,10,0.25
6,1,5,1,10,0.03
6,1,10,1,10,0.03
6,1,20,1,10,0.06
6,1,30,1,10,0.12
6,3,5,1,10,0.07
6,3,10,1,10,0.08
6,3,20,1,10,0.23
6,3,30,1,10,0.35
6,7,5,1,10,0.13
6,7,10,1,10,0.17
6,7,20,1,10,0.26
6,7,30,1,10,0.29
6,14,5,1,10,0.17
6,14,10,1,10,0.17
6,14,20,1,10,0.17
6,14,30,1,10,0.17
6,21,5,1,10,0.13
6,21,10,1,10,0.17
6,21,20,1,10,0.17
6,21,30,1,10,0.17
2,1,5,1,11,0.30
2,1,10,1,11,0.55
2,1,20,1,11,0.82
2,1,30,1,11,0.95
2,3,5,1,11,0.40
2,3,10,1,11,0.60
2,3,20,1,11,0.82
2,3,30,1,11,0.88
2,7,5,1,11,0.50
2,7,10,1,11,0.65
2,7,20,1,11,0.72
2,7,30,1,11,0.75
2,14,5,1,11,0.50
2,14,10,1,11,0.50
2,14,20,1,11,0.50
2,14,30,1,11,0.50
2,21,5,1,11,0.50
2,21,10,1,11,0.50
2,21,20,1,11,0.50
2,21,30,1,11,0.50
4,1,5,1,11,0.10
4,1,10,1,11,0.10
4,1,20,1,11,0.24
4,1,30,1,11,0.37
4,3,5,1,11,0.15
4,3,10,1,11,0.17
4,3,20,1,11,0.46
4,3,30,1,11,0.59
4,7,5,1,11,0.20
4,7,10,1,11,0.30
4,7,20,1,11,0.41
4,7,30,1,11,0.43
4,14,5,1,11,0.25
4,14,10,1,11,0.25
4,14,20,1,11,0.25
4,14,30,1,11,0.25
4,21,5,1,11,0.20
4,21,10,1,11,0.25
4,21,20,1,11,0.25
4,21,30,1,11,0.25
6,1,5,1,11,0.03
6,1,10,1,11,0.05
6,1,20,1,11,0.07
6,1,30,1,11,0.14
6,3,5,1,11,0.07
6,3,10,1,11,0.10
6,3,20,1,11,0.27
6,3,30,1,11,0.39
6,7,5,1,11,0.13
6,7,10,1,11,0.18
6,7,20,1,11,0.28
6,7,30,1,11,0.30
6,14,5,1,11,0.17
6,14,10,1,11,0.17
6,14,20,1,11,0.17
6,14,30,1,11,0.17
6,21,5,1,11,0.17
6,21,10,1,11,0.17
6,21,20,1,11,0.17
6,21,30,1,11,0.17
2,1,5,1,12,0.40
2,1,10,1,12,0.60
2,1,20,1,12,0.88
2,1,30,1,12,0.97
2,3,5,1,12,0.40
2,3,10,1,12,0.65
2,3,20,1,12,0.85
2,3,30,1,12,0.90
2,7,5,1,12,0.50
2,7,10,1,12,0.65
2,7,20,1,12,0.75
2,7,30,1,12,0.75
2,14,5,1,12,0.50
2,14,10,1,12,0.50
2,14,20,1,12,0.50
2,14,30,1,12,0.50
2,21,5,1,12,0.50
2,21,10,1,12,0.50
2,21,20,1,12,0.50
2,21,30,1,12,0.50
