,strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
401,2,14,10,3,3,
402,2,14,20,1,3,0.07
403,2,14,20,2,3,
404,2,14,20,3,3,
405,2,14,30,1,3,0.08
406,2,14,30,2,3,
407,2,14,30,3,3,
408,2,21,5,1,3,0.10
409,2,21,5,2,3,
410,2,21,5,3,3,
411,2,21,10,1,3,0.10
412,2,21,10,2,3,
413,2,21,10,3,3,
414,2,21,20,1,3,0.07
415,2,21,20,2,3,
416,2,21,20,3,3,
417,2,21,30,1,3,0.08
418,2,21,30,2,3,
419,2,21,30,3,3,
420,4,1,5,1,3,0.05
421,4,1,5,2,3,0.05
422,4,1,5,3,3,0.05
423,4,1,10,1,3,0.03
424,4,1,10,2,3,0.03
425,4,1,10,3,3,0.03
426,4,1,20,1,3,0.03
427,4,1,20,2,3,0.03
428,4,1,20,3,3,0.03
429,4,1,30,1,3,0.02
430,4,1,30,2,3,0.02
431,4,1,30,3,3,0.02
432,4,3,5,1,3,0.05
433,4,3,5,2,3,0.05
434,4,3,5,3,3,0.05
435,4,3,10,1,3,0.05
436,4,3,10,2,3,0.05
437,4,3,10,3,3,0.05
438,4,3,20,1,3,0.04
439,4,3,20,2,3,0.04
440,4,3,20,3,3,0.04
441,4,3,30,1,3,0.04
442,4,3,30,2,3,0.04
443,4,3,30,3,3,0.03
444,4,7,5,1,3,0.05
445,4,7,5,2,3,0.05
446,4,7,5,3,3,0.05
447,4,7,10,1,3,0.05
448,4,7,10,2,3,0.05
449,4,7,10,3,3,0.05
450,4,7,20,1,3,0.04
451,4,7,20,2,3,0.04
452,4,7,20,3,3,0.04
453,4,7,30,1,3,0.04
454,4,7,30,2,3,0.04
455,4,7,30,3,3,0.04
456,4,14,5,1,3,0.05
457,4,14,5,2,3,0.05
458,4,14,5,3,3,0.05
459,4,14,10,1,3,0.05
460,4,14,10,2,3,0.05
461,4,14,10,3,3,0.05
462,4,14,20,1,3,0.04
463,4,14,20,2,3,0.04
464,4,14,20,3,3,0.04
465,4,14,30,1,3,0.03
466,4,14,30,2,3,0.03
467,4,14,30,3,3,0.04
468,4,21,5,1,3,0.05
469,4,21,5,2,3,0.05
470,4,21,5,3,3,0.05
471,4,21,10,1,3,0.05
472,4,21,10,2,3,0.03
473,4,21,10,3,3,0.05
474,4,21,20,1,3,0.04
475,4,21,20,2,3,0.04
476,4,21,20,3,3,0.04
477,4,21,30,1,3,0.04
478,4,21,30,2,3,0.04
479,4,21,30,3,3,0.04
480,6,1,5,1,3,0.03
481,6,1,5,2,3,0.03
482,6,1,5,3,3,0.03
483,6,1,10,1,3,0.02
484,6,1,10,2,3,0.02
485,6,1,10,3,3,0.02
486,6,1,20,1,3,0.01
487,6,1,20,2,3,0.02
488,6,1,20,3,3,0.01
489,6,1,30,1,3,0.01
490,6,1,30,2,3,0.01
491,6,1,30,3,3,0.01
492,6,3,5,1,3,0.03
493,6,3,5,2,3,0.03
494,6,3,5,3,3,0.03
495,6,3,10,1,3,0.03
496,6,3,10,2,3,0.03
497,6,3,10,3,3,0.03
498,6,3,20,1,3,0.03
499,6,3,20,2,3,0.03
500,6,3,20,3,3,0.03
501,6,3,30,1,3,0.03
502,6,3,30,2,3,0.02
503,6,3,30,3,3,0.03
504,6,7,5,1,3,0.03
505,6,7,5,2,3,0.03
506,6,7,5,3,3,0.03
507,6,7,10,1,3,0.03
508,6,7,10,2,3,0.03
509,6,7,10,3,3,0.03
510,6,7,20,1,3,0.03
511,6,7,20,2,3,0.03
512,6,7,20,3,3,0.03
513,6,7,30,1,3,0.03
514,6,7,30,2,3,0.02
515,6,7,30,3,3,0.02
516,6,14,5,1,3,0.03
517,6,14,5,2,3,0.03
518,6,14,5,3,3,0.03
519,6,14,10,1,3,0.03
520,6,14,10,2,3,0.03
521,6,14,10,3,3,0.03
522,6,14,20,1,3,0.03
523,6,14,20,2,3,0.03
524,6,14,20,3,3,0.03
525,6,14,30,1,3,0.03
526,6,14,30,2,3,0.02
527,6,14,30,3,3,0.03
528,6,21,5,1,3,0.03
529,6,21,5,2,3,0.03
530,6,21,5,3,3,0.03
531,6,21,10,1,3,0.03
532,6,21,10,2,3,0.03
533,6,21,10,3,3,0.03
534,6,21,20,1,3,0.03
535,6,21,20,2,3,0.03
536,6,21,20,3,3,0.03
537,6,21,30,1,3,0.02
538,6,21,30,2,3,0.03
539,6,21,30,3,3,0.03
540,2,1,5,1,4,0.10
541,2,1,5,2,4,
542,2,1,5,3,4,
543,2,1,10,1,4,0.05
544,2,1,10,2,4,
545,2,1,10,3,4,
546,2,1,20,1,4,0.05
547,2,1,20,2,4,
548,2,1,20,3,4,
549,2,1,30,1,4,0.05
550,2,1,30,2,4,
551,2,1,30,3,4,
552,2,3,5,1,4,0.10
553,2,3,5,2,4,
554,2,3,5,3,4,
555,2,3,10,1,4,0.05
556,2,3,10,2,4,
557,2,3,10,3,4,
558,2,3,20,1,4,0.07
559,2,3,20,2,4,
560,2,3,20,3,4,
561,2,3,30,1,4,0.08
562,2,3,30,2,4,
563,2,3,30,3,4,
564,2,7,5,1,4,0.15
565,2,7,5,2,4,
566,2,7,5,3,4,
567,2,7,10,1,4,0.10
568,2,7,10,2,4,
569,2,7,10,3,4,
570,2,7,20,1,4,0.10
571,2,7,20,2,4,
572,2,7,20,3,4,
573,2,7,30,1,4,0.13
574,2,7,30,2,4,
575,2,7,30,3,4,
576,2,14,5,1,4,0.10
577,2,14,5,2,4,
578,2,14,5,3,4,
579,2,14,10,1,4,0.10
580,2,14,10,2,4,
581,2,14,10,3,4,
582,2,14,20,1,4,0.12
583,2,14,20,2,4,
584,2,14,20,3,4,
585,2,14,30,1,4,0.13
586,2,14,30,2,4,
587,2,14,30,3,4,
588,2,21,5,1,4,0.10
589,2,21,5,2,4,
590,2,21,5,3,4,
591,2,21,10,1,4,0.10
592,2,21,10,2,4,
593,2,21,10,3,4,
594,2,21,20,1,4,0.10
595,2,21,20,2,4,
596,2,21,20,3,4,
597,2,21,30,1,4,0.13
598,2,21,30,2,4,
599,2,21,30,3,4,
600,4,1,5,1,4,0.05
601,4,1,5,2,4,0.05
602,4,1,5,3,4,0.05
603,4,1,10,1,4,0.03
604,4,1,10,2,4,0.03
605,4,1,10,3,4,0.03
606,4,1,20,1,4,0.03
607,4,1,20,2,4,0.03
608,4,1,20,3,4,0.03
609,4,1,30,1,4,0.02
610,4,1,30,2,4,0.02
611,4,1,30,3,4,0.02
612,4,3,5,1,4,0.05
613,4,3,5,2,4,0.05
614,4,3,5,3,4,0.05
615,4,3,10,1,4,0.05
616,4,3,10,2,4,0.05
617,4,3,10,3,4,0.05
618,4,3,20,1,4,0.04
619,4,3,20,2,4,0.04
620,4,3,20,3,4,0.04
621,4,3,30,1,4,0.04
622,4,3,30,2,4,0.04
623,4,3,30,3,4,0.03
624,4,7,5,1,4,0.05
625,4,7,5,2,4,0.10
626,4,7,5,3,4,0.05
627,4,7,10,1,4,0.05
628,4,7,10,2,4,0.05
629,4,7,10,3,4,0.05
630,4,7,20,1,4,0.05
631,4,7,20,2,4,0.05
632,4,7,20,3,4,0.05
633,4,7,30,1,4,0.07
634,4,7,30,2,4,0.07
635,4,7,30,3,4,0.07
636,4,14,5,1,4,0.05
637,4,14,5,2,4,0.05
638,4,14,5,3,4,0.05
639,4,14,10,1,4,0.05
640,4,14,10,2,4,0.05
641,4,14,10,3,4,0.05
642,4,14,20,1,4,0.05
643,4,14,20,2,4,0.05
644,4,14,20,3,4,0.05
645,4,14,30,1,4,0.06
646,4,14,30,2,4,0.06
647,4,14,30,3,4,0.07
648,4,21,5,1,4,0.05
649,4,21,5,2,4,0.05
650,4,21,5,3,4,0.05
651,4,21,10,1,4,0.05
652,4,21,10,2,4,0.05
653,4,21,10,3,4,0.05
654,4,21,20,1,4,0.05
655,4,21,20,2,4,0.05
656,4,21,20,3,4,0.06
657,4,21,30,1,4,0.06
658,4,21,30,2,4,0.07
659,4,21,30,3,4,0.06
660,6,1,5,1,4,0.03
661,6,1,5,2,4,0.03
662,6,1,5,3,4,0.03
663,6,1,10,1,4,0.02
664,6,1,10,2,4,0.02
665,6,1,10,3,4,0.02
666,6,1,20,1,4,0.01
667,6,1,20,2,4,0.02
668,6,1,20,3,4,0.02
669,6,1,30,1,4,0.01
670,6,1,30,2,4,0.01
671,6,1,30,3,4,0.01
672,6,3,5,1,4,0.03
673,6,3,5,2,4,0.03
674,6,3,5,3,4,0.03
675,6,3,10,1,4,0.03
676,6,3,10,2,4,0.03
677,6,3,10,3,4,0.03
678,6,3,20,1,4,0.03
679,6,3,20,2,4,0.03
680,6,3,20,3,4,0.03
681,6,3,30,1,4,0.03
682,6,3,30,2,4,0.02
683,6,3,30,3,4,0.03
684,6,7,5,1,4,0.03
685,6,7,5,2,4,0.03
686,6,7,5,3,4,0.03
687,6,7,10,1,4,0.03
688,6,7,10,2,4,0.03
689,6,7,10,3,4,0.03
690,6,7,20,1,4,0.04
691,6,7,20,2,4,0.03
692,6,7,20,3,4,0.03
693,6,7,30,1,4,0.04
694,6,7,30,2,4,0.04
695,6,7,30,3,4,0.04
696,6,14,5,1,4,0.03
697,6,14,5,2,4,0.03
698,6,14,5,3,4,0.03
699,6,14,10,1,4,0.03
700,6,14,10,2,4,0.03
701,6,14,10,3,4,0.03
702,6,14,20,1,4,0.03
703,6,14,20,2,4,0.03
704,6,14,20,3,4,0.04
705,6,14,30,1,4,0.04
706,6,14,30,2,4,0.04
707,6,14,30,3,4,0.04
708,6,21,5,1,4,0.03
709,6,21,5,2,4,0.03
710,6,21,5,3,4,0.03
711,6,21,10,1,4,0.03
712,6,21,10,2,4,0.03
713,6,21,10,3,4,0.03
714,6,21,20,1,4,0.04
715,6,21,20,2,4,0.03
716,6,21,20,3,4,0.03
717,6,21,30,1,4,0.04
718,6,21,30,2,4,0.04
719,6,21,30,3,4,0.04
720,2,1,5,1,5,0.10
721,2,1,5,2,5,
722,2,1,5,3,5,
723,2,1,10,1,5,0.10
724,2,1,10,2,5,
725,2,1,10,3,5,
726,2,1,20,1,5,0.07
727,2,1,20,2,5,
728,2,1,20,3,5,
729,2,1,30,1,5,0.08
730,2,1,30,2,5,
731,2,1,30,3,5,
732,2,3,5,1,5,0.10
733,2,3,5,2,5,
734,2,3,5,3,5,
735,2,3,10,1,5,0.05
736,2,3,10,2,5,
737,2,3,10,3,5,
738,2,3,20,1,5,0.07
739,2,3,20,2,5,
740,2,3,20,3,5,
741,2,3,30,1,5,0.08
742,2,3,30,2,5,
743,2,3,30,3,5,
744,2,7,5,1,5,0.20
745,2,7,5,2,5,
746,2,7,5,3,5,
747,2,7,10,1,5,0.15
748,2,7,10,2,5,
749,2,7,10,3,5,
